2024-06-12 13:16:39,409 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Configure stats pid to 12687
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Loading settings from /home/users/yz705/.config/wandb/settings
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Loading settings from /usr/project/xtmp/yz705/ICL-Experiments/wandb/settings
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'experiment.py', 'program_abspath': '/usr/project/xtmp/yz705/ICL-Experiments/experiment.py', 'program': '/usr/project/xtmp/yz705/ICL-Experiments/./experiment.py'}
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_init.py:_log_setup():520] Logging user logs to /usr/project/xtmp/yz705/ICL-Experiments/wandb/run-20240612_131639-u5kf0gw6/logs/debug.log
2024-06-12 13:16:39,410 INFO    MainThread:12687 [wandb_init.py:_log_setup():521] Logging internal logs to /usr/project/xtmp/yz705/ICL-Experiments/wandb/run-20240612_131639-u5kf0gw6/logs/debug-internal.log
2024-06-12 13:16:39,411 INFO    MainThread:12687 [wandb_init.py:init():560] calling init triggers
2024-06-12 13:16:39,411 INFO    MainThread:12687 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-12 13:16:39,411 INFO    MainThread:12687 [wandb_init.py:init():610] starting backend
2024-06-12 13:16:39,411 INFO    MainThread:12687 [wandb_init.py:init():614] setting up manager
2024-06-12 13:16:39,416 INFO    MainThread:12687 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-12 13:16:39,423 INFO    MainThread:12687 [wandb_init.py:init():622] backend started and connected
2024-06-12 13:16:39,446 INFO    MainThread:12687 [wandb_init.py:init():711] updated telemetry
2024-06-12 13:16:39,481 INFO    MainThread:12687 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-12 13:16:39,807 INFO    MainThread:12687 [wandb_run.py:_on_init():2396] communicating current version
2024-06-12 13:16:40,001 INFO    MainThread:12687 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.17.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-12 13:16:40,001 INFO    MainThread:12687 [wandb_init.py:init():795] starting run threads in backend
2024-06-12 13:16:40,755 INFO    MainThread:12687 [wandb_run.py:_console_start():2374] atexit reg
2024-06-12 13:16:40,755 INFO    MainThread:12687 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-06-12 13:16:40,755 INFO    MainThread:12687 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-06-12 13:16:40,756 INFO    MainThread:12687 [wandb_run.py:_redirect():2319] Redirects installed.
2024-06-12 13:16:40,762 INFO    MainThread:12687 [wandb_init.py:init():838] run started, returning control to user process
